experiment_id,status,window,channel,variable,constants,primary_metric,minimum_evidence,decision_rule
CID-001,active,2026-08-25T08:15:00Z/2026-09-01T08:14:59Z,LinkedIn post,Tuesday short-post acquisition baseline,"canonical issue; Product Friction Review CTA; tuesday_launch UTM; no competing short post",Acquired subscribers still active at 30 days,20 unique tuesday_launch visits,"Treat the first 24 hours as the uncontested short-post window; after CID-004 starts keep the two surfaces separate by attribution and make no cross-surface causal claim"
CID-002,staged,From 2026-09-08 after CID-001 closes,LinkedIn post,Canonical link in the post body versus the first comment,"Tuesday text-only issue post; 18:15 Sydney timing class; same site CTA and free playbook promise; separate utm_content labels",Unique tagged visits per 1000 LinkedIn impressions and qualified-action sessions per unique tagged visit,20 unique tagged visits per placement across repeated posts,"Run the first inline-link observation on 8 September and alternate placement across later comparable Tuesday issues; keep the placement with stronger owned-site transfer only after at least two posts and 20 tagged visits per placement; otherwise report descriptively and continue the crossover"
CID-003,queued,After LinkedIn opening test,Partner contribution,Customer Success Collective canonical contribution,"one existing operating idea; one canonical author link",Acquired subscribers and meaningful partner replies,20 tagged visits,"Repeat once only if it produces an acquired subscriber or a credible follow-on invitation"
CID-004,active,2026-08-26T08:15:00Z/2026-09-23T08:14:59Z,LinkedIn Newsletter,Four-edition weekly reactivation of the existing 680-subscriber newsletter,"native evidence-led adaptation; canonical site resource; linkedin_newsletter UTM; no duplicate Wednesday post",Acquired website subscribers still active at 30 days,20 unique tagged visits across four editions,"Keep weekly if the block produces attributable qualified action or acquired subscribers; otherwise reduce to monthly and revise the native format before another block"
CID-005,queued,2026-09-24T08:00:00Z/2026-10-08T07:59:59Z,Medium,One delayed Product Friction Review canonical import,"website canonical published first; CID-004 closed; Medium import flow; free story; medium/syndication/product_friction_review/canonical_footer label",Acquired subscribers still active at 30 days,20 unique tagged visits,"Continue selectively only if the import produces an acquired subscriber, meaningful tool use, or a credible collaboration; keep Renewal Evidence Packet held until the first 14-day read"
CID-R01,always_on,From 2026-08-24,Subscriber referral,Problem-matched post-signup and welcome sharing,"Tuesday acquisition CTA; editorial promise; subscriber_referral source",Referred acquired subscribers still active at 30 days,10 unique completed post-signup share sessions and 20 unique referred visits,"Keep as infrastructure; revise the prompt only if 10 completed share sessions produce no referred visit, and never compare it as a CID-001 creative variant"
CID-006,staged,Activate after CID-001 closes,LinkedIn-to-email landing path,Dedicated subscribe page versus general homepage,"same LinkedIn surface; same editorial promise; same timing class; separate campaign labels",Acquired subscribers still active at 30 days,20 unique tagged visits per destination,"Keep the dedicated path if it improves visit-to-signup conversion without reducing 30-day active status; do not switch the Premium button before CID-001 closes"
LI20K-001,active,2026-08-27/2026-09-03,LinkedIn portfolio,Post-to-follow baseline across approved public work,"approved calendar; no extra posting; existing profile surfaces through 1 September",Post-attributed followers per 1000 members reached,5000 combined members reached and 10 post-attributed follows,"Report descriptively below the gate; after the gate rank formats without attributing account-level follower movement to an individual post"
LI20K-002,staged,First clean four-post block after 1 September,LinkedIn feed,Specific-failure opening versus broader advice opening,"comparable CS topic family; text asset class; timing and CTA class held as stable as the calendar allows",Post-attributed followers and profile viewers per 1000 members reached,2 posts per opening family and 10000 combined members reached,"Keep the stronger opening family only after the evidence floor; topic differences make this directional rather than causal"
LI20K-003,queued,After LI20K-002 read,LinkedIn feed,Native document asset versus text post,"same verified playbook family; comparable timing and audience promise",Post-attributed followers saves and qualified replies per 1000 members reached,2 qualified runs per asset class,"Reallocate one slot only when direct follows or profile actions improve; impressions alone do not qualify"
LI20K-004,queued,After four comparable 18:15 posts,LinkedIn feed,18:15 Sydney timing class versus one later Sydney slot,"content and asset class matched as closely as practical; no simultaneous profile change",Post-attributed followers and qualified reach per 1000 members reached,2 comparable posts per timing class,"Move no more than one weekly slot after two reads; do not infer a United States majority from comments or anecdote"
LI20K-005,staged,2026-09-03/2026-09-16,LinkedIn relationship activity,Five-comment baseline versus an eight-external-comment ceiling inside a 20-genuine-interaction day,"same 27 August Kuber voice standard; no links or repeated posts; manager and Codex share one account-level cap; own-post replies take priority",Substantive replies and aggregate profile views per external relationship comment,10 weekdays with completed manager/Codex duplicate checks,"Keep or improve only if voice quality holds and meaningful replies or profile discovery improve without a platform warning; stop immediately on restriction risk or repetitive output; never jump directly to 20 external comments"
